"PLT_CN","STATE_NAME","INVYR","MEASYEAR","LAT","LON","ELEV","ELEV_M","ALL_TREES_TOTAL","ALL_TREES_BA_M2HA","PIAL_TOTAL","PIAL_AVG_DBH_CM","PIAL_STDEV_DBH_CM","PIAL_BA_M2HA","PIAL_QMD_CM","PIAL_TPH","PIAL_SDI","PIAL_CLASS1","PIAL_CLASS1_BA_M2HA","PIAL_CLASS1_TPH","PIAL_CLASS2","PIAL_CLASS2_BA_M2HA","PIAL_CLASS2_TPH","PIAL_CLASS3","PIAL_CLASS3_BA_M2HA","PIAL_CLASS3_TPH","PIAL_CLASS4","PIAL_CLASS4_BA_M2HA","PIAL_CLASS4_TPH","ABLA_TOTAL","ABLA_AVG_DBH_CM","ABLA_STDEV_DBH_CM","ABLA_BA_M2HA","ABLA_QMD_CM","ABLA_TPH","ABLA_SDI","ABLA_CLASS1","ABLA_CLASS1_BA_M2HA","ABLA_CLASS1_TPH","ABLA_CLASS2","ABLA_CLASS2_BA_M2HA","ABLA_CLASS2_TPH","ABLA_CLASS3","ABLA_CLASS3_BA_M2HA","ABLA_CLASS3_TPH","ABLA_CLASS4","ABLA_CLASS4_BA_M2HA","ABLA_CLASS4_TPH","PICO_TOTAL","PICO_AVG_DBH_CM","PICO_STDEV_DBH_CM","PICO_BA_M2HA","PICO_QMD_CM","PICO_TPH","PICO_SDI","PICO_CLASS1","PICO_CLASS1_BA_M2HA","PICO_CLASS1_TPH","PICO_CLASS2","PICO_CLASS2_BA_M2HA","PICO_CLASS2_TPH","PICO_CLASS3","PICO_CLASS3_BA_M2HA","PICO_CLASS3_TPH","PICO_CLASS4","PICO_CLASS4_BA_M2HA","PICO_CLASS4_TPH","PIEN_TOTAL","PIEN_AVG_DBH_CM","PIEN_STDEV_DBH_CM","PIEN_BA_M2HA","PIEN_QMD_CM","PIEN_TPH","PIEN_SDI","PIEN_CLASS1","PIEN_CLASS1_BA_M2HA","PIEN_CLASS1_TPH","PIEN_CLASS2","PIEN_CLASS2_BA_M2HA","PIEN_CLASS2_TPH","PIEN_CLASS3","PIEN_CLASS3_BA_M2HA","PIEN_CLASS3_TPH","PIEN_CLASS4","PIEN_CLASS4_BA_M2HA","PIEN_CLASS4_TPH","PIFL_TOTAL","PIFL_AVG_DBH_CM","PIFL_STDEV_DBH_CM","PIFL_BA_M2HA","PIFL_QMD_CM","PIFL_TPH","PIFL_SDI","PIFL_CLASS1","PIFL_CLASS1_BA_M2HA","PIFL_CLASS1_TPH","PIFL_CLASS2","PIFL_CLASS2_BA_M2HA","PIFL_CLASS2_TPH","PIFL_CLASS3","PIFL_CLASS3_BA_M2HA","PIFL_CLASS3_TPH","PIFL_CLASS4","PIFL_CLASS4_BA_M2HA","PIFL_CLASS4_TPH","PIPO_TOTAL","PIPO_AVG_DBH_CM","PIPO_STDEV_DBH_CM","PIPO_BA_M2HA","PIPO_QMD_CM","PIPO_TPH","PIPO_SDI","PIPO_CLASS1","PIPO_CLASS1_BA_M2HA","PIPO_CLASS1_TPH","PIPO_CLASS2","PIPO_CLASS2_BA_M2HA","PIPO_CLASS2_TPH","PIPO_CLASS3","PIPO_CLASS3_BA_M2HA","PIPO_CLASS3_TPH","PIPO_CLASS4","PIPO_CLASS4_BA_M2HA","PIPO_CLASS4_TPH","PIPU_TOTAL","PIPU_AVG_DBH_CM","PIPU_STDEV_DBH_CM","PIPU_BA_M2HA","PIPU_QMD_CM","PIPU_TPH","PIPU_SDI","PIPU_CLASS1","PIPU_CLASS1_BA_M2HA","PIPU_CLASS1_TPH","PIPU_CLASS2","PIPU_CLASS2_BA_M2HA","PIPU_CLASS2_TPH","PIPU_CLASS3","PIPU_CLASS3_BA_M2HA","PIPU_CLASS3_TPH","PIPU_CLASS4","PIPU_CLASS4_BA_M2HA","PIPU_CLASS4_TPH","POAN_TOTAL","POAN_AVG_DBH_CM","POAN_STDEV_DBH_CM","POAN_BA_M2HA","POAN_QMD_CM","POAN_TPH","POAN_SDI","POAN_CLASS1","POAN_CLASS1_BA_M2HA","POAN_CLASS1_TPH","POAN_CLASS2","POAN_CLASS2_BA_M2HA","POAN_CLASS2_TPH","POAN_CLASS3","POAN_CLASS3_BA_M2HA","POAN_CLASS3_TPH","POAN_CLASS4","POAN_CLASS4_BA_M2HA","POAN_CLASS4_TPH","POBA_TOTAL","POBA_AVG_DBH_CM","POBA_STDEV_DBH_CM","POBA_BA_M2HA","POBA_QMD_CM","POBA_TPH","POBA_SDI","POBA_CLASS1","POBA_CLASS1_BA_M2HA","POBA_CLASS1_TPH","POBA_CLASS2","POBA_CLASS2_BA_M2HA","POBA_CLASS2_TPH","POBA_CLASS3","POBA_CLASS3_BA_M2HA","POBA_CLASS3_TPH","POBA_CLASS4","POBA_CLASS4_BA_M2HA","POBA_CLASS4_TPH","PODE_TOTAL","PODE_AVG_DBH_CM","PODE_STDEV_DBH_CM","PODE_BA_M2HA","PODE_QMD_CM","PODE_TPH","PODE_SDI","PODE_CLASS1","PODE_CLASS1_BA_M2HA","PODE_CLASS1_TPH","PODE_CLASS2","PODE_CLASS2_BA_M2HA","PODE_CLASS2_TPH","PODE_CLASS3","PODE_CLASS3_BA_M2HA","PODE_CLASS3_TPH","PODE_CLASS4","PODE_CLASS4_BA_M2HA","PODE_CLASS4_TPH","POTR_TOTAL","POTR_AVG_DBH_CM","POTR_STDEV_DBH_CM","POTR_BA_M2HA","POTR_QMD_CM","POTR_TPH","POTR_SDI","POTR_CLASS1","POTR_CLASS1_BA_M2HA","POTR_CLASS1_TPH","POTR_CLASS2","POTR_CLASS2_BA_M2HA","POTR_CLASS2_TPH","POTR_CLASS3","POTR_CLASS3_BA_M2HA","POTR_CLASS3_TPH","POTR_CLASS4","POTR_CLASS4_BA_M2HA","POTR_CLASS4_TPH","PSME_TOTAL","PSME_AVG_DBH_CM","PSME_STDEV_DBH_CM","PSME_BA_M2HA","PSME_QMD_CM","PSME_TPH","PSME_SDI","PSME_CLASS1","PSME_CLASS1_BA_M2HA","PSME_CLASS1_TPH","PSME_CLASS2","PSME_CLASS2_BA_M2HA","PSME_CLASS2_TPH","PSME_CLASS3","PSME_CLASS3_BA_M2HA","PSME_CLASS3_TPH","PSME_CLASS4","PSME_CLASS4_BA_M2HA","PSME_CLASS4_TPH","BA_M2HA_ALL_OTHERS"
11790522010690,"Idaho",2006,2006,42.849234,-112.166285,5995,1827.276,6,16.52669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,55.1603333333333,11.028885522421,16.52669,56.0716146548323,67,238.519587632529,0,0,0,0,0,0,0,0,0,6,16.52669,67,0
11790693010690,"Idaho",2006,2006,42.363972,-111.540624,7209,2197.3032,25,24.42146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13.573125,9.80671106181884,6.98207,16.5647390637462,1260,634.543150744772,6,2.01554,1111,6,1.30897,89,3,2.22236,45,1,1.4352,15,4,25.0825,9.56555366928648,3.26025,26.4150841187379,59,63.3448583264719,0,0,0,1,0.21976,15,2,1.56339,30,1,1.4771,15,4,42.418,29.7826959603503,11.51553,49.6441684188586,59,174.384322335322,0,0,0,2,0.67163,30,0,0,0,2,10.8439,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.752,0,2.66361,47.752,15,40.9600411459204,0,0,0,0,0,0,0,0,0,1,2.66361,15,0
11790744010690,"Idaho",2006,2006,42.54082,-111.36379,7552,2301.8496,40,42.83182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16.1036,13.4061149849415,12.10223,20.7379761789814,1831,1322.16256911467,9,2.23427,1667,4,1.37838,59,3,1.75549,45,4,6.73408,59,1,36.83,0,1.58449,36.83,15,26.9980675578856,0,0,0,0,0,0,0,0,0,1,1.58449,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.686,0,0.89538,27.686,15,17.0768028813339,0,0,0,0,0,0,1,0.89538,15,0,0,0,18,34.0218888888889,11.9893799765552,28.24971,35.961761769351,438,765.400002943019,1,1.14999,185,0,0,0,6,4.35082,89,11,22.7489,164,0.895
11790816010690,"Idaho",2006,2006,42.529411,-111.507505,6745,2055.876,30,28.56151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.558,0,0.44682,19.558,15,9.77585272150166,0,0,0,1,0.44682,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14.5203333333333,9.46628614962947,2.86451,16.8972056269668,430,223.523105248344,2,0.93877,370,3,0.78558,45,0,0,0,1,1.14016,15,23,28.7351304347826,10.9228871778663,25.25018,30.6566439355534,342,462.571376645961,0,0,0,3,0.64375,45,12,8.47812,178,8,16.12831,119,2.865
11791390010690,"Idaho",2006,2006,43.172223,-111.866586,6419,1956.5112,3,0.19761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.064,1.54502168269575,0.19761,4.25528972769971,139,7.89725428366394,3,0.19761,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198
11794024010690,"Idaho",2006,2006,43.224158,-111.379357,7038,2145.1824,33,20.09323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16.383,4.12961612420977,1.31387,16.7688099160316,59,30.5467499856512,0,0,0,3,0.76937,45,1,0.54449,15,0,0,0,23,19.304,5.98678298800404,13.26834,20.1724479771619,683,471.690187447148,2,2.53937,370,11,3.49998,164,9,5.77291,134,1,1.45608,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22.7753333333333,14.2372985452531,5.51102,26.2227579276729,430,452.541385567069,2,0.75196,370,0,0,0,2,1.94171,30,2,2.81735,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.511
11794104010690,"Idaho",2006,2006,43.488171,-111.496991,6161,1877.8728,14,4.57288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19.4491428571429,4.94506733028974,4.57288,20.0243890436495,220,150.41097184804,1,0.27037,93,7,1.81691,69,6,2.48561,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.573
11794173010690,"Idaho",2006,2006,43.350653,-111.182125,6394,1948.8912,32,33.43734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30.7622222222222,3.67959229323636,10.0752,30.9572178623625,134,183.862989718949,0,0,0,0,0,0,5,4.61874,74,4,5.45646,59,23,26.3386956521739,11.3321981757323,23.36213,28.5755521685781,683,824.879793174652,2,1.54803,370,6,1.74577,89,5,3.79683,74,10,16.2715,149,10.075
11794251010690,"Idaho",2006,2006,43.488101,-111.185461,6862,2091.5376,3,4.51656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.302,0,0.15865,3.302,185,7.00843084967035,1,0.15865,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36.322,33.0473425255345,4.35791,43.189710672798,30,69.7259258448645,0,0,0,1,0.19602,15,0,0,0,1,4.16189,15,0
11794273010690,"Idaho",2006,2006,43.53461,-111.304467,5942,1811.1216,10,12.27555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44.45,0,2.30797,44.45,15,36.5101068798023,0,0,0,0,0,0,0,0,0,1,2.30797,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.812,0,0.4585,19.812,15,9.98042127907426,0,0,0,1,0.4585,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27.4955,8.1038681945282,9.50907,28.5213273709342,289,348.495035401997,1,2.07374,185,0,0,0,4,3.3482,59,3,4.08713,45,0.459
